Conference,Location,Abstract Deadline,Full Paper / Speaker Deadline,Conference Start Date,Conference End Date,Status,Action Required,Focus Area,Entry Fee (Approx.),Acceptance Difficulty,Credibility Score,Available Tracks,Best Fit For Team,Official Website
RecSys 2026 — Industry Track,"Minneapolis, USA",,2026-05-21,2026-09-28,2026-10-02,CLOSED (2026),"Draft paper on deployed rec system with A/B results. Submit by May 21.",Recommender Systems,"~$900 (professional)",Medium (25–35%),9 / 10,Industry,"Top pick globally. Industry track welcomes deployed-system papers with A/B results. Ideal for reco & personalization work.","https://recsys.acm.org/recsys26/"
RecSys 2026 — Main Track,"Minneapolis, USA",2026-04-14,2026-04-21,2026-09-28,2026-10-02,CLOSED (2026),"Full paper deadline Apr 21. Fast-track if you have research-ready content.",Recommender Systems,"~$900 (professional)",High (15–25%),9 / 10,Research,"Top pick globally. Main track for theoretical recommender system algorithms. High credibility.","https://recsys.acm.org/recsys26/"
ACM SIGMOD 2026 — Industry Track,"Bengaluru, India",2026-03-15,2026-04-17,2026-05-31,2026-06-05,CLOSED (2026),"Industry track paper. In Bangalore — minimal travel cost. Deadline Apr 17.",Data Engineering & Management,"~$600 (domestic)",High (15–25%),8 / 10,Industry,"Rare: top-tier ACM conference IN Bangalore. Industry track open. Great for data platform & feature store work.","https://2026.sigmod.org/"
KDD 2026 — Applied DS Track (Cycle 2),"Jeju, South Korea",2026-01-20,2026-02-08,2026-08-09,2026-08-13,CLOSED (2026),"Cycle 2 deadline Feb 2026. Applied Data Science track is your best KDD entry point.",Applied ML & Data Science,"~$1,200 (professional)",High (15–25%),9 / 10,Industry,"Applied Data Science track is the gold standard for industry ML papers. Accepted papers from Flipkart & Meesho historically.","https://kdd.org/kdd2026/"
SIGIR eCom 2026 — Workshop,"Melbourne, Australia",2026-04-15,2026-05-15,2026-07-24,2026-07-24,CLOSED (2026),"Check sigir-ecom.github.io. 2026 theme: Agentic Shopping. Great debut.",Search & Information Retrieval,"Included in SIGIR (~$900)",Easy–Medium (>35%),7 / 10,Research | Industry,"Laser-focused on ecom AI. 2026 theme: Agentic Shopping. Best debut for product search/discovery papers. Lower bar than main SIGIR.","https://sigir-ecom.github.io/"
Cypher 2026 — Speaker Proposal,"Bengaluru, India",,2026-08-31,2026-10-07,2026-10-09,OPEN — Rolling,"Submit speaker proposal via cypher.analyticsindiamag.com. Case study format preferred.",Broad AI & ML,"₹8,000–₹25,000 (~$95–$300)",Easy–Medium (>35%),6 / 10,Industry,"Ideal debut venue. 5,000+ attendees. Speak via case study or panel. High visibility in India's AI community.","https://cypher.analyticsindiamag.com/"
NeurIPS 2026 — Full Papers,"Sydney, Australia",2026-05-04,2026-05-21,2026-12-06,2026-12-12,CLOSED (2026),"Very selective. Consider Datasets & Benchmarks track as more achievable alternative.",Broad AI & ML,"~$1,400 (professional)",Very High (<15%),10 / 10,Research,"Prestige. Start with Datasets & Benchmarks track or workshops — more achievable. Attend to stay on the frontier.","https://neurips.cc/"
MLDS 2027 — Paper Submissions,"Bengaluru, India",2026-10-15,2026-11-15,2027-03-04,2027-03-06,Plan Now,"CFP opens ~6 months before conference. Plan now, submit in late 2026.",Applied ML & Data Science,"₹8,000 Standard / ₹25,000 Premium (~$95–$300)",Easy–Medium (>35%),6 / 10,Research | Industry,"Best Bangalore venue for practitioner-focused paper/talk on Agentic AI, GenAI, MLOps. Paper submission track open.","https://mlds.analyticsindiamag.com/"
WSDM 2027 — Full Papers,"Hong Kong, China",2026-08-10,2026-08-17,2027-02-15,2027-02-19,Plan Now,"Submission deadline around Aug 2026. Start preparing ecom search / reco paper now.",Search & Information Retrieval,"~$800 (professional)",High (15–25%),8 / 10,Research,"Smaller & friendlier than SIGIR. Strong ecom search track. Many Indian GCC teams have published here. Hong Kong is easy from Bangalore.","https://www.wsdm-conference.org/2027/"
TheWebConf 2027 — Research/Industry,"TBA",2026-10-08,2026-10-15,2027-04-19,2027-04-23,Plan Now,"Start groundwork now. Dubai 2026 was great for India teams — 2027 location TBC.",Search & Information Retrieval,"~$800 (professional)",Very High (<15%),9 / 10,Research | Industry,"Dubai location (close to Bangalore!) makes it strategically accessible. Plan 2027 submission now. Strong ecom & reco tracks.","https://www2027.thewebconf.org/"
ICML 2026 — Full Papers,"Seoul, South Korea",2026-01-22,2026-02-01,2026-07-06,2026-07-11,CLOSED (2026),"Attend 2026 as audience. Submit to 2027 edition if breakthrough research ready.",Broad AI & ML,"~$1,200 (professional)",Very High (<15%),10 / 10,Research,"Flagship ML conference. Seoul is accessible. Attend for learning. Publishing here signals world-class research.","https://icml.cc/"
SIGIR 2026 — Full Papers,"Melbourne, Australia",2026-01-15,2026-01-22,2026-07-20,2026-07-24,CLOSED (2026),"Attend 2026. Target 2027 submission with product search / NLP angle.",Search & Information Retrieval,"~$900 (professional)",Very High (<15%),9 / 10,Research,"Premier IR venue. Attend 2026 for learning + networking. Target 2027 paper with product search/query understanding angle.","https://sigir.org/sigir2026/"
AAAI 2027 — Full Papers,"TBA",2026-08-08,2026-08-15,2027-02-20,2027-02-26,Plan Now,"Premier AI conference. Prepare full length technical papers.",Broad AI & ML,"~$850 (professional)",Very High (<15%),9 / 10,Research,"Highly prestigious AI conference. Excellent for pure-research projects or major breakthroughs in core algorithms.","https://aaai.org/"
CVPR 2027 — Full Papers,"TBA",2026-11-10,2026-11-17,2027-06-18,2027-06-24,Plan Now,"Start experiments now if doing multimodal/vision applications in retail.",Broad AI & ML,"~$1,000 (professional)",Very High (<15%),10 / 10,Research,"World-class computer vision venue. Perfect for visual search, virtual try-on, and catalog intelligence research.","https://cvpr.thecvf.com/"
